symbol,exchange,name,sector,industry,cap_category,index
20MICRONS.NS,NSE,20 Microns Limited,,,,
21STCENMGM.NS,NSE,21st Century Management Services Limited,,,,
360ONE.NS,NSE,360 ONE WAM LIMITED,,,,
3BBLACKBIO.NS,NSE,3B Blackbio Dx Limited,,,,
3IINFOLTD.NS,NSE,3i Infotech Limited,,,,
3MINDIA.NS,NSE,3M India Limited,,,,
3PLAND.NS,NSE,3P Land Holdings Limited,,,,
5PAISA.NS,NSE,5Paisa Capital Limited,,,,
63MOONS.NS,NSE,63 moons technologies limited,,,,
A2ZINFRA.NS,NSE,A2Z Infra Engineering Limited,,,,
AAATECH.NS,NSE,AAA Technologies Limited,,,,
AADHARHFC.NS,NSE,Aadhar Housing Finance Limited,,,,
AAKASH.NS,NSE,Aakash Exploration Services Limited,,,,
AAREYDRUGS.NS,NSE,Aarey Drugs & Pharmaceuticals Limited,,,,
AARNAV.NS,NSE,Aarnav Fashions Limited,,,,
AARON.NS,NSE,Aaron Industries Limited,,,,
AARTECH.NS,NSE,Aartech Solonics Limited,,,,
AARTIDRUGS.NS,NSE,Aarti Drugs Limited,,,,
AARTIIND.NS,NSE,Aarti Industries Limited,,,,
AARTIPHARM.NS,NSE,Aarti Pharmalabs Limited,,,,
AARTISURF.NS,NSE,Aarti Surfactants Limited,,,,
AARVI.NS,NSE,Aarvi Encon Limited,,,,
AASTHA.NS,NSE,Aastha Spintex Limited,,,,
AAVAS.NS,NSE,Aavas Financiers Limited,,,,
ABAN.NS,NSE,Aban Offshore Limited,,,,
ABANSENT.NS,NSE,Abans Enterprises Limited,,,,
ABB.NS,NSE,ABB India Limited,,,,
ABBOTINDIA.NS,NSE,Abbott India Limited,,,,
ABCAPITAL.NS,NSE,Aditya Birla Capital Limited,,,,
ABCOTS.NS,NSE,A B Cotspin India Limited,,,,
ABDL.NS,NSE,Allied Blenders and Distillers Limited,,,,
ABFRL.NS,NSE,Aditya Birla Fashion and Retail Limited,,,,
ABINFRA.NS,NSE,A B Infrabuild Limited,,,,
ABLBL.NS,NSE,Aditya Birla Lifestyle Brands Limited,,,,
ABMINTLLTD.NS,NSE,ABM International Limited,,,,
ABMKNO.NS,NSE,ABM Knowledgeware Limited,,,,
ABREL.NS,NSE,Aditya Birla Real Estate Limited,,,,
ABSLAMC.NS,NSE,Aditya Birla Sun Life AMC Limited,,,,
ACC.NS,NSE,ACC Limited,,,,
ACCELYA.NS,NSE,Accelya Solutions India Limited,,,,
ACCURACY.NS,NSE,Accuracy Shipping Limited,,,,
ACE.NS,NSE,Action Construction Equipment Limited,,,,
ACEINTEG.NS,NSE,Ace Integrated Solutions Limited,,,,
ACGL.NS,NSE,Automobile Corporation of Goa Limited,,,,
ACI.NS,NSE,Archean Chemical Industries Limited,,,,
ACL.NS,NSE,Andhra Cements Limited,,,,
ACMESOLAR.NS,NSE,Acme Solar Holdings Limited,,,,
ACSTECH.NS,NSE,ACS Technologies Limited,,,,
ACUTAAS.NS,NSE,Acutaas Chemicals Limited,,,,
ADANIENSOL.NS,NSE,Adani Energy Solutions Limited,,,,
ADANIENT.NS,NSE,Adani Enterprises Limited,,,,
ADANIGREEN.NS,NSE,Adani Green Energy Limited,,,,
ADANIPORTS.NS,NSE,Adani Ports and Special Economic Zone Limited,,,,
ADANIPOWER.NS,NSE,Adani Power Limited,,,,
ADDIND.NS,NSE,Addi Industries Limited,,,,
ADFFOODS.NS,NSE,ADF Foods Limited,,,,
ADL.NS,NSE,Archidply Decor Limited,,,,
ADOR.NS,NSE,Ador Welding Limited,,,,
ADROITINFO.NS,NSE,Adroit Infotech Limited,,,,
ADSL.NS,NSE,Allied Digital Services Limited,,,,
ADVAIT.NS,NSE,Advait Energy Transitions Limited,,,,
ADVANCE.NS,NSE,Advance Agrolife Limited,,,,
ADVANIHOTR.NS,NSE,Advani Hotels & Resorts (India) Limited,,,,
ADVENTHTL.NS,NSE,Advent Hotels International Limited,,,,
ADVENZYMES.NS,NSE,Advanced Enzyme Technologies Limited,,,,
ADVIKCA.NS,NSE,Advik Capital Limited,,,,
AEGISLOG.NS,NSE,Aegis Logistics Limited,,,,
AEGISVOPAK.NS,NSE,Aegis Vopak Terminals Limited,,,,
AEPL.NS,NSE,Artemis Electricals and Projects Limited,,,,
AEQUS.NS,NSE,Aequs Limited,,,,
AEROENTER.NS,NSE,Aeroflex Enterprises Limited,,,,
AEROFLEX.NS,NSE,Aeroflex Industries Limited,,,,
AERONEU.NS,NSE,Aeroflex Neu Limited,,,,
AEROPLANE.NS,NSE,Amir Chand Jagdish Kumar (Exports) Limited,,,,
AETHER.NS,NSE,Aether Industries Limited,,,,
AFCONS.NS,NSE,Afcons Infrastructure Limited,,,,
AFFLE.NS,NSE,Affle 3i Limited,,,,
